district,price,rooms,bathrooms,size
Puente-de-Vallecas,115000,2,1,49
Puente-de-Vallecas,132600,2,1,79
Puente-de-Vallecas,210000,3,4,119
Puente-de-Vallecas,140000,2,1,50
Puente-de-Vallecas,156000,2,1,71
Puente-de-Vallecas,168000,2,1,80
Puente-de-Vallecas,166500,1,1,51
Puente-de-Vallecas,134000,2,2,72
Puente-de-Vallecas,114999,3,1,95
Puente-de-Vallecas,189999,3,1,79
Puente-de-Vallecas,155000,3,1,98
Puente-de-Vallecas,190000,3,2,97
Puente-de-Vallecas,189900,3,1,110
Puente-de-Vallecas,140000,3,1,61
Puente-de-Vallecas,235000,3,2,91
Puente-de-Vallecas,134000,2,1,72
Puente-de-Vallecas,155000,2,1,69
Puente-de-Vallecas,135000,3,1,65
Puente-de-Vallecas,119000,2,1,60
Puente-de-Vallecas,168000,3,1,80
Puente-de-Vallecas,199500,3,2,108
Puente-de-Vallecas,225000,3,2,84
Puente-de-Vallecas,210000,3,2,103
Puente-de-Vallecas,90700,2,1,36
Moratalaz,193200,3,1,74
Moratalaz,193200,3,1,74
Moratalaz,200000,2,2,103
Moratalaz,200000,2,2,103
Moratalaz,200000,2,1,103
Moratalaz,239000,3,3,92
Moratalaz,199900,2,1,55
Moratalaz,160000,3,2,89
Moratalaz,239000,3,1,89
Moratalaz,225000,3,2,90
Moratalaz,398000,3,2,119
Moratalaz,225000,2,1,65
Moratalaz,680000,5,3,200
Moratalaz,200000,2,2,103
Moratalaz,250000,3,2,89
Moratalaz,176000,3,1,73
Moratalaz,200000,2,2,103
Moratalaz,269000,2,1,70
Moratalaz,440000,4,2,142
Villaverde,107500,3,1,72
Villaverde,215000,3,2,94
Villaverde,105000,3,1,55
Villaverde,155000,1,1,55
Villaverde,165000,2,1,85
Villaverde,91500,2,1,76
Villaverde,269900,3,2,120
Villaverde,101000,2,1,54
Villaverde,245000,3,1,95
Villaverde,115000,1,1,66
Villaverde,155000,3,1,66
Villaverde,98000,2,1,60
Villaverde,205000,2,2,80
Villaverde,119900,2,1,68
Villaverde,135000,4,1,80
Villaverde,79800,2,1,61
Villaverde,260000,3,3,100
Villaverde,194400,3,2,191
Villaverde,145000,3,86,3
Villaverde,249000,2,2,90
Villaverde,228000,2,2,88
Villaverde,164000,1,1,51
Villaverde,218000,2,2,88
Villaverde,244000,3,2,145
Villa-de-Vallecas,149000,2,1,60
Villa-de-Vallecas,168300,1,1,53
Villa-de-Vallecas,103400,2,1,51
Villa-de-Vallecas,294000,3,3,94
Villa-de-Vallecas,240000,3,2,90
Villa-de-Vallecas,278000,2,2,84
Villa-de-Vallecas,209000,3,1,115
Villa-de-Vallecas,84000,1,1,40
Villa-de-Vallecas,130000,2,1,89
Villa-de-Vallecas,197700,3,2,115
Villa-de-Vallecas,149000,2,1,60
Villa-de-Vallecas,145000,3,1,66
Villa-de-Vallecas,239000,3,2,85
Villa-de-Vallecas,185000,3,1,77
Villa-de-Vallecas,195000,3,1,92
Villa-de-Vallecas,285000,2,2,100
Villa-de-Vallecas,165000,1,1,59
Villa-de-Vallecas,225000,2,1,70
Villa-de-Vallecas,280000,2,2,81
Villa-de-Vallecas,145000,3,1,66
Villa-de-Vallecas,240000,3,2,92
Vicalvaro,295000,2,2,85
Vicalvaro,305000,2,2,84
Vicalvaro,249000,2,2,100
Vicalvaro,365000,3,2,115
Vicalvaro,390000,3,2,167
Vicalvaro,142000,3,1,55
Vicalvaro,164500,2,1,60
Vicalvaro,358000,3,2,105
Vicalvaro,226000,2,2,85
Vicalvaro,138000,3,1,62
Vicalvaro,109000,3,1,60
Vicalvaro,358500,2,2,106
Vicalvaro,425000,4,2,120
Vicalvaro,312000,2,1,90
Vicalvaro,149500,3,1,68
Vicalvaro,149900,3,1,70
Vicalvaro,180700,1,1,53
Vicalvaro,186200,52,4,
Vicalvaro,340000,3,2,100
Vicalvaro,175000,3,1,65
Vicalvaro,401700,3,2,110
Vicalvaro,465000,4,2,128
Usera,419000,3,2,90
Hortaleza,450000,2,2,101
Barajas,345000,3,2,101
San-Blas,164999,2,2,74
Centro,130000,2,1,35
