district,price,rooms,bathrooms,size
Centro,1820000,3,3,305
Centro,619000,3,3,91
Centro,640000,4,2,136
Centro,169000,1,1,37
Centro,700000,2,1,77
Centro,654000,4,2,113
Centro,174000,1,1,37
Centro,425000,2,1,45
Centro,199000,1,41,
Centro,284000,1,1,68
Centro,229000,2,1,50
Centro,230000,1,1,40
Centro,197000,3,1,55
Centro,260000,1,1,44
Centro,399000,3,2,92
Centro,2074500,5,3,300
Centro,365000,2,2,84
Centro,998500,2,2,212
Centro,385000,1,1,63
Centro,318000,1,1,76
Centro,185000,1,1,45
Centro,299000,2,1,64
Centro,195700,3,1,50
Centro,376600,3,1,57
Centro,220000,1,1,40
Centro,399000,2,2,108
Centro,990000,8,6,254
Centro,989000,8,6,254
Centro,2150000,3,3,222
Arganzuela,145000,2,1,37
Arganzuela,535000,5,2,175
Arganzuela,370000,3,1,97
Arganzuela,320000,3,1,76
Arganzuela,425000,2,2,85
Arganzuela,360000,3,1,100
Arganzuela,430000,2,2,90
Arganzuela,148000,1,1,35
Arganzuela,570000,2,1,115
Arganzuela,160000,2,1,52
Arganzuela,540000,2,2,84
Arganzuela,259000,2,1,49
Arganzuela,450000,4,2,101
Arganzuela,299000,3,1,108
Arganzuela,144800,2,1,40
Arganzuela,414000,1,1,71
Arganzuela,615500,2,2,82
Arganzuela,378000,3,2,84
Arganzuela,365000,3,1,97
Arganzuela,219900,2,1,48
Arganzuela,580000,2,2,103
Arganzuela,305000,3,1,71
Arganzuela,160000,1,1,33
Arganzuela,380000,4,1,104
Arganzuela,322000,1,1,94
Retiro,259000,2,1,45
Retiro,457000,1,1,69
Retiro,749000,2,2,85
Retiro,595000,4,3,195
Retiro,390000,4,2,104
Retiro,550000,3,2,110
Retiro,275000,1,1,67
Retiro,399000,3,2,87
Retiro,240000,2,1,50
Retiro,680000,3,2,99
Retiro,359000,1,1,80
Retiro,450000,2,2,96
Retiro,780000,3,2,128
Retiro,299000,2,1,62
Retiro,540000,3,2,115
Retiro,595000,2,2,92
Retiro,575000,2,2,92
Retiro,2300000,4,4,390
Retiro,834900,3,3,179
Retiro,547000,4,2,144
Retiro,410000,1,1,59
Retiro,116900,1,1,20
Retiro,675000,2,166,
Retiro,439000,3,2,109
Retiro,610000,4,2,125
Retiro,625000,4,3,150
Barrio-de-Salamanca,2300000,3,4,228
Barrio-de-Salamanca,757200,2,2,96
Barrio-de-Salamanca,1810000,4,3,238
Barrio-de-Salamanca,1590000,2,3,146
Barrio-de-Salamanca,815000,3,2,95
Barrio-de-Salamanca,1795000,4,5,199
Barrio-de-Salamanca,355000,1,1,55
Barrio-de-Salamanca,589000,2,2,66
Barrio-de-Salamanca,610000,3,2,98
Barrio-de-Salamanca,234000,1,1,48
Barrio-de-Salamanca,475000,3,1,84
Barrio-de-Salamanca,1550000,3,3,156
Barrio-de-Salamanca,873000,4,2,186
Barrio-de-Salamanca,465000,2,2,65
Barrio-de-Salamanca,420000,2,2,52
Barrio-de-Salamanca,650000,2,1,93
Barrio-de-Salamanca,415000,1,1,35
Barrio-de-Salamanca,290000,1,1,58
Barrio-de-Salamanca,1100000,2,2,129
Barrio-de-Salamanca,579990,3,1,84
Barrio-de-Salamanca,579000,4,2,150
Barrio-de-Salamanca,2095000,6,3,240
Barrio-de-Salamanca,660000,2,2,65
Barrio-de-Salamanca,650000,3,2,106
Barrio-de-Salamanca,2690000,5,4,312
Barrio-de-Salamanca,225000,2,1,41
Barrio-de-Salamanca,4620000,12,4,639
Barrio-de-Salamanca,1550000,4,4,174
Moratalaz,156000,2,1,59
Carabanchel,170000,2,1,76
Fuencarral-El-Pardo,194000,2,1,53
