district,price,rooms,bathrooms,size
Chamartin,399000,2,2,88
Chamartin,1550000,6,4,355
Chamartin,980000,3,2,130
Chamartin,900000,5,4,185
Chamartin,1780000,6,4,296
Chamartin,515000,2,2,90
Chamartin,449000,3,2,88
Chamartin,225000,1,42,2
Chamartin,970000,5,3,197
Chamartin,496000,4,1,129
Chamartin,475000,3,2,125
Chamartin,2200000,5,5,256
Chamartin,750000,2,2,120
Chamartin,2485000,6,4,335
Chamartin,390000,2,1,63
Chamartin,1109300,4,3,196
Chamartin,900000,9,2,270
Chamartin,2950000,4,4,479
Chamartin,735000,4,3,163
Chamartin,1650000,4,4,210
Chamartin,194000,3,1,40
Chamartin,850000,3,2,128
Chamartin,519000,3,2,135
Chamartin,2300000,5,4,256
Chamartin,1514000,4,4,231
Chamartin,2515000,4,3,218
Chamartin,890000,2,1,119
Tetuan,449000,4,2,115
Tetuan,480000,44,2,137
Tetuan,149000,1,1,69
Tetuan,177000,2,1,55
Tetuan,399000,3,2,102
Tetuan,850000,4,217,1
Tetuan,210000,2,1,71
Tetuan,215000,2,1,38
Tetuan,264000,2,1,68
Tetuan,270000,1,1,83
Tetuan,488000,3,2,104
Tetuan,485000,1,1,68
Tetuan,210000,3,1,75
Tetuan,995000,4,5,179
Tetuan,583570,3,3,76
Tetuan,258000,3,1,90
Tetuan,295000,2,1,60
Tetuan,290000,3,2,100
Tetuan,277000,1,1,53
Tetuan,360000,2,2,80
Tetuan,210000,2,1,63
Tetuan,280000,2,2,62
Tetuan,239000,1,1,64
Tetuan,500000,4,2,125
Tetuan,560000,3,2,185
Tetuan,135000,1,1,44
Tetuan,250000,2,2,47
Tetuan,220000,1,1,75
Chamberi,485000,2,1,74
Chamberi,885000,2,2,106
Chamberi,1595000,2,3,209
Chamberi,290000,1,1,45
Chamberi,1490000,4,4,274
Chamberi,790000,5,3,179
Chamberi,550000,1,1,60
Chamberi,450000,1,1,65
Chamberi,1090000,3,2,170
Chamberi,900000,4,3,143
Chamberi,580200,1,1,65
Chamberi,799000,3,3,96
Chamberi,545000,4,2,126
Chamberi,830000,3,2,114
Chamberi,615000,3,2,90
Chamberi,318900,2,1,53
Chamberi,596000,3,1,105
Chamberi,199900,2,1,68
Chamberi,700000,3,2,138
Chamberi,485000,2,1,77
Chamberi,235000,2,1,63
Chamberi,350000,2,1,57
Chamberi,330000,2,1,48
Chamberi,257900,1,1,70
Chamberi,280000,2,1,60
Chamberi,265000,1,1,52
Chamberi,520000,3,2,91
Chamberi,285000,3,1,56
Fuencarral-El-Pardo,1100000,4,3,340
Fuencarral-El-Pardo,394000,1,1,53
Fuencarral-El-Pardo,730000,4,3,154
Fuencarral-El-Pardo,1109000,4,2,149
Fuencarral-El-Pardo,450000,2,2,100
Fuencarral-El-Pardo,220000,3,1,86
Fuencarral-El-Pardo,777000,3,2,123
Fuencarral-El-Pardo,999000,4,3,168
Fuencarral-El-Pardo,564000,4,2,151
Fuencarral-El-Pardo,649600,3,2,128
Fuencarral-El-Pardo,968100,4,4,179
Fuencarral-El-Pardo,880000,5,3,205
Fuencarral-El-Pardo,290000,3,2,86
Fuencarral-El-Pardo,460000,3,2,150
Fuencarral-El-Pardo,220000,4,1,92
Fuencarral-El-Pardo,315000,3,2,126
Fuencarral-El-Pardo,420000,4,2,110
Fuencarral-El-Pardo,469900,3,2,160
Fuencarral-El-Pardo,350000,3,2,120
Fuencarral-El-Pardo,1077000,8,6,511
Fuencarral-El-Pardo,205000,3,1,88
Fuencarral-El-Pardo,300000,2,1,80
Fuencarral-El-Pardo,590000,4,2,151
Fuencarral-El-Pardo,569000,3,2,129
Fuencarral-El-Pardo,955000,4,3,275
Fuencarral-El-Pardo,549900,4,2,149
Fuencarral-El-Pardo,520000,3,2,115
Fuencarral-El-Pardo,195000,3,1,77
Villa-de-Vallecas,193068,3,2,132
Latina,285000,3,1,90
Puente-de-Vallecas,155000,3,1,75
Moratalaz,142000,2,1,52
Usera,134000,2,1,65
Moratalaz,200000,2,2,103
Vicalvaro,435000,4,2,116
Puente-de-Vallecas,170000,3,1,80
Carabanchel,129000,2,1,63
Hortaleza,365000,3,1,116
Moratalaz,259000,1,2,91
Usera,87000,2,2,80
Hortaleza,510000,4,2,120
Barrio-de-Salamanca,850000,3,2,139
Barrio-de-Salamanca,1100000,4,2,159
Retiro,690000,3,1,127
Barajas,460000,8,2,214
Barrio-de-Salamanca,6300000,3,4,480
