district,price,rooms,bathrooms,size
Ciudad-Lineal,1250000,4,4,214
Ciudad-Lineal,599000,4,2,179
Ciudad-Lineal,340000,3,2,87
Ciudad-Lineal,1190000,5,4,216
Ciudad-Lineal,1165000,4,3,256
Ciudad-Lineal,299000,3,2,69
Ciudad-Lineal,239000,2,1,76
Ciudad-Lineal,1450000,3,2,276
Ciudad-Lineal,264000,2,2,72
Ciudad-Lineal,191000,1,1,62
Ciudad-Lineal,630000,2,2,93
Ciudad-Lineal,595000,4,2,139
Ciudad-Lineal,270000,2,1,73
Ciudad-Lineal,164000,3,1,68
Ciudad-Lineal,539000,5,2,166
Ciudad-Lineal,191000,3,1,65
Ciudad-Lineal,94500,2,2,22
Ciudad-Lineal,195500,2,1,79
Ciudad-Lineal,390000,3,1,98
Ciudad-Lineal,299000,1,1,60
Ciudad-Lineal,285000,3,1,90
Ciudad-Lineal,162000,2,1,54
Ciudad-Lineal,129500,1,1,40
Ciudad-Lineal,240000,2,2,100
Ciudad-Lineal,249000,2,1,70
Ciudad-Lineal,1050000,5,3,242
Ciudad-Lineal,299000,3,2,175
Hortaleza,195000,3,1,71
Hortaleza,370000,4,2,134
Hortaleza,389000,2,2,80
Hortaleza,229000,66,,
Hortaleza,549000,4,2,140
Hortaleza,439999,2,2,113
Hortaleza,459000,3,2,143
Hortaleza,250000,1,1,86
Hortaleza,229000,2,1,72
Hortaleza,465000,3,2,128
Hortaleza,1132000,4,3,172
Hortaleza,295000,1,1,72
Hortaleza,179000,2,1,60
Hortaleza,368000,3,2,120
Hortaleza,330000,3,2,115
Hortaleza,320000,1,1,100
Hortaleza,256500,1,1,43
Hortaleza,415000,3,2,100
Hortaleza,399000,3,1,112
Hortaleza,180000,1,1,53
Hortaleza,349000,3,2,85
Hortaleza,180000,2,1,53
Hortaleza,180000,3,1,68
Hortaleza,305000,3,2,75
Hortaleza,189000,3,1,77
Hortaleza,185000,3,1,72
Hortaleza,435000,98,,
San-Blas,214000,3,1,89
San-Blas,175000,3,1,74
San-Blas,975000,5,3,206
San-Blas,221000,3,1,84
San-Blas,370000,3,2,105
San-Blas,170000,3,1,81
San-Blas,185000,3,1,76
San-Blas,345000,3,2,104
San-Blas,109000,1,26,4
San-Blas,186500,1,1,53
San-Blas,315000,1,1,91
San-Blas,467000,4,2,112
San-Blas,220000,1,1,50
San-Blas,330000,3,2,112
San-Blas,380000,2,2,116
San-Blas,399000,2,1,100
San-Blas,440000,4,3,140
San-Blas,250000,1,1,126
San-Blas,262500,1,1,57
San-Blas,245000,1,125,6
San-Blas,290000,1,1,75
San-Blas,180000,3,1,77
San-Blas,221000,3,1,84
San-Blas,126000,1,1,47
San-Blas,160000,1,1,51
San-Blas,166000,2,1,71
San-Blas,349000,3,2,136
Barajas,285000,3,2,90
Barajas,749000,3,2,190
Barajas,1190000,4,3,335
Barajas,235000,2,2,58
Barajas,194000,3,1,72
Barajas,470000,2,2,133
Barajas,499000,2,2,75
Barajas,284000,1,1,52
Barajas,404400,2,2,111
Barajas,404400,3,2,138
Barajas,325000,4,1,114
Barajas,212200,2,2,82
Barajas,170000,3,1,64
Barajas,410000,2,2,64
Barajas,435000,4,3,135
Barajas,445000,2,2,113
Barajas,895000,4,3,306
Barajas,595000,4,2,134
Barajas,380000,4,2,123
Barajas,404400,3,2,138
Barajas,1200000,5,3,334
Barajas,325000,1,1,119
Barajas,450000,2,2,109
Barajas,749000,3,2,190
Barajas,465000,2,2,142
Barajas,335000,3,2,97
Barajas,270000,1,1,68
Barajas,450000,2,2,107
Barajas,325000,3,2,120
Centro,2250000,4,4,265
Tetuan,384000,3,1,79
Fuencarral-El-Pardo,395000,2,1,70
Carabanchel,530000,5,3,250
