district,price,rooms,bathrooms,size
Ciudad-Lineal,410000,3,2,87
Ciudad-Lineal,155000,3,1,70
Ciudad-Lineal,325000,3,2,87
Ciudad-Lineal,585000,2,2,86
Ciudad-Lineal,449000,5,2,118
Ciudad-Lineal,299000,2,1,80
Ciudad-Lineal,180000,3,1,58
Ciudad-Lineal,169900,2,1,74
Ciudad-Lineal,215000,2,1,50
Ciudad-Lineal,223000,3,1,105
Ciudad-Lineal,194250,2,1,90
Ciudad-Lineal,499000,3,1,108
Ciudad-Lineal,324000,2,1,83
Ciudad-Lineal,179000,1,1,65
Ciudad-Lineal,570000,3,2,125
Ciudad-Lineal,239000,3,2,85
Ciudad-Lineal,355000,2,2,70
Ciudad-Lineal,240000,4,1,96
Ciudad-Lineal,140000,2,1,77
Ciudad-Lineal,296000,2,2,84
Ciudad-Lineal,239000,3,1,84
Ciudad-Lineal,570000,3,2,95
Ciudad-Lineal,140000,2,1,77
Ciudad-Lineal,240000,1,41,
Ciudad-Lineal,1060000,4,3,191
Ciudad-Lineal,820000,4,3,152
Hortaleza,385000,4,2,155
Hortaleza,900000,5,3,337
Hortaleza,419500,3,2,127
Hortaleza,166600,59,,
Hortaleza,760000,3,2,147
Hortaleza,425000,2,1,80
Hortaleza,1400000,5,5,349
Hortaleza,990000,4,4,201
Hortaleza,337000,4,1,120
Hortaleza,345000,4,2,100
Hortaleza,210000,2,1,56
Hortaleza,550000,3,2,111
Hortaleza,250000,1,1,67
Hortaleza,570000,4,2,148
Hortaleza,1180000,5,4,201
Hortaleza,1870000,4,6,490
Hortaleza,860000,4,2,368
Hortaleza,410000,4,2,127
Hortaleza,650000,3,4,156
Hortaleza,450000,3,2,90
Hortaleza,1260000,5,3,383
Hortaleza,1450000,5,6,384
Hortaleza,350000,2,2,88
Hortaleza,3100000,6,5,750
Hortaleza,860900,4,3,209
Hortaleza,2850000,6,7,714
Hortaleza,232000,1,1,65
San-Blas,148000,1,1,50
San-Blas,220000,2,1,61
San-Blas,485000,3,2,124
San-Blas,399000,2,1,88
San-Blas,545000,3,2,116
San-Blas,168000,2,1,50
San-Blas,130000,3,1,62
San-Blas,218000,3,1,87
San-Blas,550000,4,4,206
San-Blas,650000,2,2,108
San-Blas,475000,3,2,152
San-Blas,340000,3,2,119
San-Blas,121000,3,1,56
San-Blas,142000,3,1,51
San-Blas,125000,2,1,53
San-Blas,1150000,5,4,295
San-Blas,139000,2,1,48
San-Blas,527500,2,1,99
San-Blas,293000,1,1,63
San-Blas,189000,2,1,51
San-Blas,345000,3,2,100
San-Blas,305000,2,2,93
San-Blas,279000,2,1,89
San-Blas,749000,4,3,192
San-Blas,149000,3,1,61
San-Blas,450000,2,2,109
San-Blas,235000,3,2,118
San-Blas,600000,3,2,95
Barajas,749000,3,2,147
Barajas,550000,4,3,160
Barajas,489000,2,2,112
Barajas,399000,2,2,85
Barajas,630000,4,3,214
Barajas,749000,3,2,147
Barajas,168000,2,1,68
Barajas,530000,3,2,132
Barajas,218000,3,1,79
Barajas,530000,3,2,145
Barajas,194000,3,1,72
Barajas,365000,3,2,89
Barajas,168000,2,1,56
Barajas,335000,2,2,70
Barajas,245000,2,1,82
Barajas,295000,2,2,96
Barajas,440000,3,2,95
Barajas,340000,3,2,116
Barajas,438000,4,2,137
Barajas,925000,5,5,340
Barajas,749000,3,2,128
Barajas,272500,2,2,79
Barajas,190000,1,1,47
Barajas,470000,3,2,134
Barajas,269900,2,1,70
Barajas,475000,2,2,109
Puente-de-Vallecas,132000,2,2,60
Latina,410000,4,2,131
Villa-de-Vallecas,126100,1,1,57
Moncloa-Aravaca,1300000,5,4,237
Fuencarral-El-Pardo,587000,3,2,118
Retiro,850000,5,4,160
Tetuan,115000,2,1,61
Barrio-de-Salamanca,298000,1,1,57
Moratalaz,193200,3,1,74
Moratalaz,275000,3,2,93
Chamartin,2000000,5,4,300
Retiro,365000,3,1,95
Moratalaz,739000,5,2,216
Usera,134000,2,1,65
Moratalaz,165000,3,1,71
Retiro,490000,3,2,106
Chamartin,595000,3,2,129
Moratalaz,165000,3,1,60
Arganzuela,189000,1,1,50
Fuencarral-El-Pardo,820000,4,3,203
