district,price,rooms,bathrooms,size
Moncloa-Aravaca,A consultar,2,2,1
Moncloa-Aravaca,1090000,6,5,500
Moncloa-Aravaca,725000,3,3,208
Moncloa-Aravaca,900000,3,2,131
Moncloa-Aravaca,1450000,5,4,346
Moncloa-Aravaca,2250000,7,6,720
Moncloa-Aravaca,2339900,7,6,1215
Moncloa-Aravaca,895000,5,2,230
Moncloa-Aravaca,299000,1,1,82
Moncloa-Aravaca,1150000,5,3,247
Moncloa-Aravaca,698000,3,2,135
Moncloa-Aravaca,545000,3,2,122
Moncloa-Aravaca,1570000,2,2,176
Moncloa-Aravaca,410000,2,2,80
Moncloa-Aravaca,590000,3,2,76
Moncloa-Aravaca,275000,1,1,40
Moncloa-Aravaca,630000,2,2,134
Moncloa-Aravaca,250000,2,1,50
Moncloa-Aravaca,735000,4,3,161
Moncloa-Aravaca,985000,6,3,210
Moncloa-Aravaca,245000,3,1,81
Moncloa-Aravaca,540000,4,2,151
Moncloa-Aravaca,399000,2,1,56
Moncloa-Aravaca,356000,1,1,62
Moncloa-Aravaca,435000,3,2,148
Moncloa-Aravaca,278800,2,1,62
Moncloa-Aravaca,400000,4,1,120
Moncloa-Aravaca,1495000,5,4,237
Moncloa-Aravaca,785000,5,4,260
Moncloa-Aravaca,1300000,6,6,400
Latina,110000,3,1,60
Latina,162000,2,1,54
Latina,170300,3,2,60
Latina,480000,3,2,126
Latina,444000,5,2,144
Latina,104000,1,1,47
Latina,189000,3,1,60
Latina,189000,3,1,76
Latina,200000,3,1,90
Latina,134000,2,1,42
Latina,170000,1,1,60
Latina,135000,1,2,50
Latina,749000,4,2,134
Latina,175000,4,2,94
Latina,126000,4,2,97
Latina,114000,1,1,51
Latina,93000,1,33,
Latina,140000,2,1,75
Latina,450000,3,2,127
Latina,140000,3,1,76
Latina,150000,3,1,70
Latina,165000,3,2,99
Latina,105000,2,1,69
Latina,179000,3,1,64
Latina,249000,1,1,70
Latina,170000,3,1,70
Carabanchel,235000,2,1,92
Carabanchel,183000,3,1,73
Carabanchel,285000,2,2,92
Carabanchel,165000,4,1,114
Carabanchel,207260,2,2,90
Carabanchel,160000,2,1,50
Carabanchel,296000,3,2,111
Carabanchel,439000,4,3,180
Carabanchel,138000,3,1,73
Carabanchel,219900,2,1,60
Carabanchel,136000,3,1,79
Carabanchel,178000,3,1,56
Carabanchel,176000,3,1,64
Carabanchel,145000,3,1,86
Carabanchel,154500,3,1,75
Carabanchel,139901,2,1,76
Carabanchel,176000,3,1,68
Carabanchel,160000,1,2,62
Carabanchel,135000,3,2,97
Carabanchel,310000,97,,
Carabanchel,350000,4,1,150
Carabanchel,131000,2,1,72
Carabanchel,172000,1,40,
Carabanchel,223000,3,1,100
Carabanchel,124200,3,1,80
Carabanchel,182000,1,1,58
Carabanchel,269000,3,2,103
Usera,132500,3,1,71
Usera,149900,3,1,75
Usera,153900,2,1,49
Usera,210000,4,2,99
Usera,294000,3,2,98
Usera,135000,3,1,73
Usera,146000,3,1,62
Usera,350000,3,2,124
Usera,165000,3,2,123
Usera,169000,4,2,115
Usera,179900,3,2,109
Usera,189000,3,1,78
Usera,145000,2,1,59
Usera,134000,2,1,65
Usera,114995,4,2,118
Usera,380000,4,2,134
Usera,134000,2,1,65
Usera,134000,2,1,64
Usera,157000,2,1,90
Usera,122700,2,1,60
Usera,140000,3,1,66
Usera,196000,2,1,71
Usera,200000,4,2,122
Usera,169000,4,2,93
Usera,125000,3,1,61
Usera,122700,2,1,58
Chamartin,995000,5,4,233
Hortaleza,299000,3,2,73
Barrio-de-Salamanca,789000,3,3,86
Chamartin,650000,2,2,136
Latina,130000,2,1,55
Tetuan,200000,2,1,71
Villaverde,120000,2,1,60
Ciudad-Lineal,397000,2,2,80
Latina,120000,2,2,43
